	asn.asn	asn.asnName	asn.rank	asn.organization.orgId	asn.organization.orgName	asn.cliqueMember	asn.seen	asn.longitude	asn.latitude	asn.cone.numberAsns	asn.cone.numberPrefixes	asn.cone.numberAddresses	asn.country.iso	asn.country.name	asn.asnDegree.provider	asn.asnDegree.peer	asn.asnDegree.customer	asn.asnDegree.total	asn.asnDegree.transit	asn.asnDegree.sibling	asn.announcing.numberPrefixes	asn.announcing.numberAddresses	asn
0	327937	Smile-Communication-DRC	73745.0	0a2c0d44cf	Smile Communication DRC	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	328452	ISPA-RDC-LUBUX-MGMT	7902.0	dffe8b37f6	Internet service provider association - DRC	True	True	15.32	-4.31	2.0	53.0	13824.0	CD	Democratic Republic of the Congo	2.0	0.0	1.0	3.0	3.0	0.0	1.0	512.0	
2	37638	Orioncom	8921.0	9b5c461878	Orioncom SPRL	True	True	16.9128759723194	-4.85074526093762	2.0	15.0	4864.0	CD	Democratic Republic of the Congo	6.0	0.0	1.0	7.0	3.0	0.0	14.0	2816.0	
3	328344	STETechplus-AS	25582.0	54a3e70bfd	STE Techplus SARL	True	True	29.22	-1.69	1.0	4.0	2048.0	CD	Democratic Republic of the Congo	3.0	0.0	0.0	3.0	0.0	0.0	4.0	2048.0	
4	328601	Compagnie-Financiere-du-Congo-AS	38447.0	7ca8f59b01	Compagnie Financiere du Congo S.a.r.l.	True	True	15.32	-4.31	1.0	4.0	1024.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1024.0	
5	37020	CELTEL-DRC	2600.0	9152068ed0	CELTEL DRC	True	True	16.6957825416762	-4.07527264827748	9.0	110.0	31232.0	CD	Democratic Republic of the Congo	8.0	0.0	7.0	15.0	13.0	0.0	37.0	12800.0	
6	37414	Microcom-Sprl	30137.0	52ef62cf65	Microcom Sprl	True	True	20.122941623017	-7.29173237154566	1.0	5.0	1280.0	CD	Democratic Republic of the Congo	4.0	0.0	0.0	4.0	0.0	0.0	5.0	1280.0	
7	37415	AFRINET	38447.0	261049f2fe	AFRINET SARL	True	True	15.32	-4.31	1.0	4.0	1024.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1024.0	
8	328618	OLIVERSOFT	47380.0	a224b86363	Ets OliverSoft	True	True	29.22	-1.69	1.0	2.0	512.0	CD	Democratic Republic of the Congo	3.0	2.0	0.0	5.0	2.0	0.0	2.0	512.0	
9	37677	SCPT	3502.0	f3e843f515	Societe Congolaise des Postes et Telecommunications (SCPT)	True	True	15.32	-4.31	6.0	80.0	23040.0	CD	Democratic Republic of the Congo	3.0	0.0	4.0	7.0	7.0	0.0	9.0	2048.0	
10	328238	INFOSET-AS	63535.0	0ebd4a4eed	INFOSET SARL	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	256.0	
11	37431	ISPA-DRC	73745.0	dffe8b37f6	Internet service provider association - DRC	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	328249	Kinshasa-Wireless-AS	38447.0	10a6e9863f	Kinshasa Wireless SARL (KIWI SARL)	True	True	15.32	-4.31	1.0	4.0	1024.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1024.0	
13	327738	AFRICELL-DRC	25390.0	2770023570	STE AFRICELL RDC SPRL	True	True	20.1900389387919	-6.55614582391374	1.0	11.0	2048.0	CD	Democratic Republic of the Congo	5.0	0.0	0.0	5.0	0.0	0.0	11.0	2048.0	
14	327870	GBS-DRC	45129.0	375e3156aa	Global Broadband Solution	True	True	26.4726913573647	-0.396872127702767	1.0	3.0	768.0	CD	Democratic Republic of the Congo	2.0	0.0	0.0	2.0	0.0	0.0	3.0	768.0	
